iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
287,912813,33,37,1
288,913271,33,37,1
289,913556,33,37,1
290,913863,33,37,1
291,914744,33,37,1
292,918876,33,37,1
293,919290,33,38,1
294,919575,33,38,1
295,919792,33,39,1
296,920413,33,39,1
297,921421,33,39,1
298,923106,33,39,1
299,923178,33,39,1
300,925458,33,39,1
301,926890,33,39,1
302,927650,33,39,1
303,930022,33,39,1
304,930296,33,39,1
305,931269,34,39,1
306,932996,34,39,1
307,937588,35,39,1
308,937606,35,39,1
309,938761,35,39,1
310,940061,35,39,1
311,940513,35,39,1
312,941418,35,39,1
313,941855,35,39,1
314,942859,35,39,1
315,943935,35,39,1
316,945344,35,39,1
317,948116,35,39,1
318,951858,35,39,1
319,952076,35,39,1
320,952353,35,39,1
321,952590,35,39,1
322,952821,35,39,1
323,953296,36,40,1
324,953422,36,40,1
325,954651,36,40,1
326,955509,37,40,1
327,956257,37,40,1
328,956268,37,41,1
329,957002,37,41,1
330,957316,37,41,1
331,958414,37,41,1
332,960188,37,41,1
333,960241,37,41,1
334,961187,37,41,1
335,961658,37,41,1
336,963401,37,41,1
337,964198,37,41,1
338,964440,37,41,1
339,964654,37,41,1
340,964995,37,41,1
341,965463,37,41,1
342,966379,37,41,1
343,967699,37,41,1
344,968204,37,41,1
345,968388,38,41,1
346,969082,38,41,1
347,969906,38,41,1
348,970482,38,41,1
349,971541,38,41,1
350,972751,39,41,1
351,972774,39,41,1
352,972930,39,41,1
353,973298,39,41,1
354,973612,39,41,1
355,974067,39,41,1
356,976157,39,41,1
357,977948,39,41,1
358,978229,39,41,1
359,978270,40,41,1
360,979622,40,41,1
361,980102,40,41,1
362,980901,40,41,1
363,981271,40,41,1
364,981354,40,41,1
365,981640,40,41,1
366,982355,40,41,1
367,983278,40,41,1
368,983356,40,41,1
369,983677,40,41,1
370,985132,40,41,1
371,985471,40,41,1
372,987343,40,41,1
373,988732,40,41,1
374,988874,40,41,1
375,988885,40,41,1
376,991028,40,41,1
377,991625,40,41,1
378,991743,40,41,1
379,992185,40,41,1
380,992685,40,41,1
381,994106,40,41,1
382,994873,40,41,1
383,995926,40,41,1
384,995985,40,41,1
385,996033,40,41,1
386,996585,40,41,1
387,997312,40,41,1
388,997599,40,41,1
389,998004,40,41,1
390,998818,40,41,1
391,1001348,40,41,1
392,1001768,40,41,1
393,1003790,40,41,1
394,1004089,40,41,1
395,1006180,40,41,1
396,1006240,40,41,1
397,1007990,40,41,1
398,1008486,40,41,1
399,1009762,40,41,1
400,1009852,40,41,1
401,1010076,40,42,1
402,1010404,40,44,1
403,1012173,40,44,1
404,1013990,40,44,1
405,1014740,40,44,1
406,1015182,40,44,1
407,1015484,40,44,1
408,1017599,40,44,1
409,1019130,40,45,1
410,1019513,40,46,1
411,1020005,40,46,1
412,1020546,40,46,1
413,1021930,40,46,1
414,1023001,40,46,1
415,1023001,40,46,1
416,1025904,40,46,1
417,1026075,40,46,1
418,1027338,40,46,1
419,1028831,40,46,1
420,1034127,40,46,1
421,1034512,40,46,1
422,1035556,40,46,1
423,1037965,40,46,1
424,1039859,40,46,1
425,1040083,40,46,1
426,1041397,40,46,1
427,1043076,40,46,1
428,1044870,40,46,1
429,1044998,40,46,1
430,1048431,40,46,1
431,1048910,40,46,1
432,1049175,40,46,1
433,1049711,40,46,1
434,1051705,40,46,1
435,1053546,40,46,1
436,1055429,40,46,1
437,1059160,40,46,1
438,1059396,40,46,1
439,1059824,40,46,1
440,1062450,40,46,1
441,1064529,40,46,1
442,1064742,41,46,1
443,1065979,41,46,1
444,1066028,41,46,1
445,1070148,41,46,1
446,1075348,42,46,1
447,1075796,42,46,1
448,1076030,42,46,1
449,1076733,42,46,1
450,1079773,42,46,1
451,1080937,42,46,1
452,1082625,42,46,1
453,1084947,42,46,1
454,1091227,42,46,1
455,1092221,42,46,1
456,1094103,42,46,1
457,1095004,43,46,1
458,1096177,43,46,1
459,1098104,43,46,1
460,1101495,43,47,1
461,1101774,43,49,1
462,1106664,43,49,1
463,1106703,43,49,1
464,1110659,43,49,1
465,1112803,44,49,1
466,1117742,44,50,1
467,1126149,44,53,1
468,1128064,45,53,1
469,1130027,45,56,1
470,1130469,45,56,1
471,1133335,45,57,1
472,1139837,45,59,1
473,1142959,46,59,1
474,1151615,46,61,1
475,1152214,46,61,2
476,1154550,46,62,2
477,1155237,46,65,2
478,1157395,46,66,2
479,1161847,46,66,2
480,1165317,47,67,2
481,1167059,47,67,2
482,1171135,47,68,2
483,1181790,48,73,2
484,1188639,48,73,2
485,1191733,49,75,2
