iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
287,801532,27,27,0
288,802052,27,27,0
289,802399,27,27,0
290,803239,27,27,0
291,804653,27,27,0
292,805095,27,27,0
293,805378,27,27,0
294,805429,27,27,0
295,805516,27,27,0
296,805548,27,27,0
297,806047,27,27,0
298,806179,27,27,0
299,806983,27,27,0
300,807127,27,27,0
301,807153,27,27,0
302,808212,27,27,0
303,808420,27,27,0
304,808617,27,27,0
305,810425,27,27,0
306,810580,27,27,0
307,811601,27,27,0
308,812754,27,27,0
309,812879,27,27,0
310,813552,27,27,0
311,814010,27,27,0
312,814371,27,27,0
313,814791,27,27,0
314,815052,27,27,0
315,816248,27,27,0
316,817548,27,27,0
317,817742,27,27,0
318,818099,27,27,0
319,818324,27,27,0
320,819181,27,27,0
321,819493,27,27,0
322,819546,27,27,0
323,819589,27,27,0
324,819956,27,27,0
325,820397,27,27,0
326,820734,27,27,0
327,822566,27,27,0
328,823400,27,27,0
329,823578,27,27,0
330,824134,27,27,0
331,824172,27,27,0
332,824897,27,27,0
333,825403,27,27,0
334,825574,27,27,0
335,826594,27,27,0
336,827302,27,27,0
337,827366,27,27,0
338,827638,27,27,0
339,827848,27,27,0
340,828299,27,27,0
341,828309,27,27,0
342,828587,27,27,0
343,828771,27,27,0
344,828928,27,27,0
345,829184,27,27,0
346,829897,27,27,0
347,830160,27,27,0
348,830245,27,27,0
349,830514,27,27,0
350,830683,27,27,0
351,830968,27,27,0
352,831260,27,27,0
353,832248,27,27,0
354,832435,27,27,0
355,832632,27,27,0
356,833140,27,27,0
357,833628,27,27,0
358,833878,27,27,0
359,834391,27,27,0
360,834662,27,27,0
361,834960,27,27,0
362,835202,27,27,0
363,835373,27,27,0
364,835447,27,27,0
365,835663,27,27,0
366,836181,27,27,0
367,836332,27,27,0
368,836560,27,27,0
369,836782,27,27,0
370,836878,27,27,0
371,836957,27,27,0
372,837516,27,27,0
373,837793,27,27,0
374,838181,27,27,0
375,838548,27,27,0
376,838809,27,27,0
377,838875,27,27,0
378,838914,27,27,0
379,839298,27,27,0
380,839479,27,27,0
381,840081,27,27,0
382,840996,27,27,0
383,841557,27,27,0
384,841671,27,27,0
385,842368,27,27,0
386,842631,27,27,0
387,844002,27,27,0
388,844420,27,27,0
389,844633,27,27,0
